tense,dataset,theme,num_words,structure,audio_filename,sentence_id,numerosity,sentence
future,naturalistic,emotion,7,simple,nat_00282.wav,nat_00282,plural,The kids will find joy in games
future,naturalistic,relationship,11,preposition,nat_02008.wav,nat_02008,singular,Will your cousin not be at the museum with us tomorrow?
present,naturalistic,food,5,simple,nat_01713.wav,nat_01713,singular,The bread isn't baked yet
present,naturalistic,humanity,9,preposition,nat_01666.wav,nat_01666,singular,Study the painting with a guide from the gallery
past,naturalistic,health,7,independent,nat_02066.wav,nat_02066,singular,I wasn't aware there was therapy available
past,naturalistic,science,8,simple,nat_00297.wav,nat_00297,singular,Had the stars not been visible at night?
future,naturalistic,transport,10,preposition,nat_01745.wav,nat_01745,singular,She will board the ferry by the river early morning
present,naturalistic,housing,6,simple,nat_01116.wav,nat_01116,plural,Those chairs are not very comfortable
present,naturalistic,sport,10,dependent,nat_00070.wav,nat_00070,singular,Do not join the team unless you have trained hard
past,naturalistic,relationship,10,independent,nat_00290.wav,nat_00290,singular,Her friend wasn't there for her because he was busy
past,naturalistic,emotion,10,preposition,nat_01721.wav,nat_01721,singular,Bring the flowers for your friend after you felt happy
past,naturalistic,weather,5,simple,nat_01708.wav,nat_01708,singular,Did it rain last night?
present,naturalistic,weather,9,simple,nat_00507.wav,nat_00507,singular,Does it ever get too hot in the summer?
past,naturalistic,basic,8,preposition,nat_00650.wav,nat_00650,plural,Bring your friends to the garden this afternoon
past,naturalistic,transport,9,preposition,nat_00916.wav,nat_00916,singular,I stayed overnight at a hotel near the airport
present,naturalistic,emotion,4,simple,nat_00450.wav,nat_00450,singular,Don't ignore your sadness
present,naturalistic,basic,8,preposition,nat_01932.wav,nat_01932,singular,This milk is not for you to drink
future,naturalistic,basic,8,simple,nat_01789.wav,nat_01789,plural,Might his friends ask about the game tonight?
present,naturalistic,shopping,8,simple,nat_00196.wav,nat_00196,plural,Are there any new gadgets on sale today?
past,naturalistic,work,12,preposition,nat_00109.wav,nat_00109,plural,Had the kids in my group not learned anything during class yesterday?
past,naturalistic,transport,8,simple,nat_01600.wav,nat_01600,plural,Did the trains not leave on time yesterday?
future,naturalistic,basic,10,independent,nat_00647.wav,nat_00647,plural,Friends will arrive soon and we will start the party
past,naturalistic,housing,7,simple,nat_00298.wav,nat_00298,plural,Paint these walls once they finished dinner
future,naturalistic,weather,10,preposition,nat_02089.wav,nat_02089,plural,Birds won't sing near the lake in this cold air
present,naturalistic,basic,7,simple,nat_01573.wav,nat_01573,plural,Have the kids finished their homework yet?
past,naturalistic,relationship,8,preposition,nat_00342.wav,nat_00342,plural,Visit friends at their home after the concert
past,naturalistic,basic,6,simple,nat_01402.wav,nat_01402,singular,I enjoyed the movie last weekend
present,naturalistic,relationship,7,preposition,nat_01258.wav,nat_01258,singular,The child under the table isn't playing
present,naturalistic,weather,9,dependent,nat_00111.wav,nat_00111,plural,The leaves fall when the temperatures drop in autumn
present,naturalistic,housing,9,preposition,nat_01827.wav,nat_01827,plural,Their floors with the carpet aren't easy to clean
present,naturalistic,housing,6,simple,nat_01834.wav,nat_01834,singular,The room doesn't need more furniture
future,naturalistic,housing,11,independent,nat_00952.wav,nat_00952,singular,A new table will not arrive today yet it might tomorrow
future,naturalistic,nature,8,simple,nat_01413.wav,nat_01413,plural,Aren't flowers going to bloom late this season?
past,naturalistic,sport,10,dependent,nat_00707.wav,nat_00707,plural,Do not leave until the players who lost have finished
future,naturalistic,weather,7,simple,nat_01898.wav,nat_01898,singular,Their garden will not bloom in winter
past,naturalistic,nature,10,preposition,nat_00579.wav,nat_00579,plural,The birds were not in the trees of the forest
future,naturalistic,art,11,preposition,nat_01904.wav,nat_01904,singular,Is this class about art history going to start tomorrow morning?
present,naturalistic,art,7,preposition,nat_01362.wav,nat_01362,plural,Don't place your sculptures outside the gallery
present,naturalistic,food,6,dependent,nat_00306.wav,nat_00306,singular,Our dinner doesn't include dessert tonight
past,naturalistic,health,7,simple,nat_00367.wav,nat_00367,plural,Your habits didn't seem healthy last spring
future,naturalistic,basic,10,dependent,nat_00433.wav,nat_00433,plural,Will those musicians you love perform at the festival tomorrow?
future,naturalistic,relationship,11,independent,nat_00321.wav,nat_00321,singular,He won't share his toys because she won't play with him
present,naturalistic,housing,6,simple,nat_01831.wav,nat_01831,singular,The fridge isn't full of groceries
present,naturalistic,weather,8,independent,nat_00581.wav,nat_00581,plural,The flowers bloom for the days grow longer
future,naturalistic,weather,9,preposition,nat_00599.wav,nat_00599,plural,Will the clouds above the hills bring rain tomorrow?
future,naturalistic,sport,9,simple,nat_00771.wav,nat_00771,plural,Aren't your friends going to enjoy the tournament later?
future,naturalistic,work,10,preposition,nat_00464.wav,nat_00464,singular,The student will study for the exam in the library
present,naturalistic,relationship,8,simple,nat_00471.wav,nat_00471,plural,Are friends more important than family to you?
future,naturalistic,art,9,preposition,nat_00988.wav,nat_00988,singular,Explore the use of light in your next painting
future,naturalistic,food,10,preposition,nat_01965.wav,nat_01965,singular,Won't this coffee in the evening affect your sleep later?
present,naturalistic,relationship,9,independent,nat_01879.wav,nat_01879,plural,The children play games while their parents watch them
future,naturalistic,shopping,10,simple,nat_01106.wav,nat_01106,singular,Will you not buy the shoes on sale next week?
future,naturalistic,emotion,9,dependent,nat_00812.wav,nat_00812,singular,Find the song that will make you smile tomorrow
present,naturalistic,housing,6,preposition,nat_00307.wav,nat_00307,singular,Install the shelves against this wall
future,naturalistic,food,9,dependent,nat_00420.wav,nat_00420,singular,The bread will be warm when we have lunch
present,naturalistic,relationship,9,preposition,nat_01259.wav,nat_01259,singular,The person behind the counter is not my friend
future,naturalistic,emotion,9,independent,nat_00543.wav,nat_00543,singular,Will I find peace if everything will change tomorrow?
future,naturalistic,nature,9,simple,nat_02060.wav,nat_02060,plural,The stars will not be visible during the storm
future,naturalistic,work,11,independent,nat_00670.wav,nat_00670,singular,I will study hard for I want to pass the exams
future,naturalistic,work,9,simple,nat_02021.wav,nat_02021,plural,Will those projects not be completed by next week?
future,naturalistic,work,12,preposition,nat_00135.wav,nat_00135,plural,Do the colleagues in your team plan to attend the meeting later?
past,naturalistic,transport,11,independent,nat_00637.wav,nat_00637,singular,He did not drive to work because the car was broken
future,naturalistic,nature,8,simple,nat_00620.wav,nat_00620,singular,The sun will rise over the mountains tomorrow
future,naturalistic,weather,9,preposition,nat_00427.wav,nat_00427,singular,You won't wear those clothes in the snow tomorrow
future,naturalistic,relationship,11,preposition,nat_01425.wav,nat_01425,plural,Those friends will travel to the city by train tomorrow morning
present,naturalistic,basic,5,simple,nat_01437.wav,nat_01437,singular,My brother doesn't eat fish
past,naturalistic,art,7,simple,nat_00128.wav,nat_00128,singular,Did the artist paint this last night?
future,naturalistic,shopping,7,simple,nat_00067.wav,nat_00067,plural,Won't those items be on sale soon?
future,naturalistic,weather,6,simple,nat_01617.wav,nat_01617,singular,New flowers will bloom in spring
future,naturalistic,relationship,9,preposition,nat_00184.wav,nat_00184,plural,Friends at work will not meet for coffee later
past,naturalistic,work,12,independent,nat_01316.wav,nat_01316,singular,Have you attended that conference before or was it your first time?
future,naturalistic,shopping,10,preposition,nat_00836.wav,nat_00836,singular,The person across the counter will not help you today
present,naturalistic,shopping,5,simple,nat_00585.wav,nat_00585,singular,Don't prices change every week?
past,naturalistic,humanity,10,preposition,nat_00029.wav,nat_00029,plural,The students did not perform well in the art class
future,naturalistic,housing,8,simple,nat_01307.wav,nat_01307,plural,You will not neglect painting the kitchen walls
past,naturalistic,emotion,10,dependent,nat_00422.wav,nat_00422,singular,Tell me how you felt when you received that news
future,naturalistic,health,7,simple,nat_00259.wav,nat_00259,plural,Don't skip meals during the upcoming week
present,naturalistic,humanity,9,preposition,nat_02065.wav,nat_02065,singular,A book about ancient history does not interest me
present,naturalistic,transport,9,preposition,nat_00943.wav,nat_00943,singular,I do not take the train in the evening
present,naturalistic,health,6,simple,nat_01554.wav,nat_01554,singular,Is your brother feeling better today?
present,naturalistic,housing,12,independent,nat_00900.wav,nat_00900,plural,The curtains do not match the room so they will not stay
future,naturalistic,transport,11,independent,nat_00231.wav,nat_00231,plural,They must not board the ferry but they have to travel
past,naturalistic,basic,7,simple,nat_01333.wav,nat_01333,plural,Please remember where you stayed last summer
future,naturalistic,humanity,9,dependent,nat_01961.wav,nat_01961,plural,Please don't attend the festival that will not inspire
present,naturalistic,shopping,9,preposition,nat_01420.wav,nat_01420,plural,The shoes in that store are on sale today
present,naturalistic,nature,7,dependent,nat_01567.wav,nat_01567,singular,Avoid the mountain path which isn't safe
past,naturalistic,food,9,simple,nat_00948.wav,nat_00948,singular,He didn't need that heavy meal for lunch today
past,naturalistic,basic,8,simple,nat_00051.wav,nat_00051,singular,Please do not say you enjoyed the movie
future,naturalistic,art,8,independent,nat_00678.wav,nat_00678,plural,Avoid paintings since artists will not paint tomorrow
future,naturalistic,weather,9,preposition,nat_00426.wav,nat_00426,singular,Do not travel during the storm in the evening
future,naturalistic,shopping,11,preposition,nat_01004.wav,nat_01004,singular,Won't the price of that bag in the window increase tomorrow?
past,naturalistic,housing,7,simple,nat_00529.wav,nat_00529,singular,This kitchen didn't seem clean yesterday evening
past,naturalistic,shopping,8,dependent,nat_01499.wav,nat_01499,singular,Don't purchase the item that wasn't on sale
past,naturalistic,emotion,9,independent,nat_00482.wav,nat_00482,plural,Don't feel left out because they were not happy
future,naturalistic,basic,10,independent,nat_00649.wav,nat_00649,plural,Birds will sing at dawn when the sun will rise
past,naturalistic,relationship,9,simple,nat_01229.wav,nat_01229,plural,Our friends didn't show up for the dinner party
present,naturalistic,shopping,6,simple,nat_01084.wav,nat_01084,singular,You won't find better prices here
past,naturalistic,relationship,8,simple,nat_00324.wav,nat_00324,plural,Did their children study together for exams yesterday?
past,naturalistic,food,5,simple,nat_01383.wav,nat_01383,singular,I didn't eat the salad
past,naturalistic,relationship,11,preposition,nat_00610.wav,nat_00610,singular,Were you not by the river with your brother back then?
future,naturalistic,food,9,preposition,nat_00409.wav,nat_00409,plural,Never skip snacks in between meals for better energy
future,naturalistic,relationship,11,simple,nat_01883.wav,nat_01883,singular,Tell her friend to bring dessert for the party next time
past,naturalistic,sport,8,simple,nat_01635.wav,nat_01635,singular,She has never tried running that fast before
past,naturalistic,basic,9,simple,nat_01034.wav,nat_01034,plural,Did your friends not enjoy the party last night?
future,naturalistic,emotion,9,simple,nat_01542.wav,nat_01542,plural,The workers will not express anger at the meeting
future,naturalistic,housing,7,simple,nat_00485.wav,nat_00485,singular,Might the wall get painted this weekend?
future,naturalistic,relationship,9,preposition,nat_00254.wav,nat_00254,plural,Share your thoughts with your siblings during dinner tonight
future,naturalistic,housing,8,simple,nat_00530.wav,nat_00530,plural,Will they be painting the walls this weekend?
future,naturalistic,shopping,10,dependent,nat_01432.wav,nat_01432,singular,Don't buy the shoes that you won't wear next summer
past,naturalistic,shopping,7,simple,nat_01852.wav,nat_01852,singular,Their online store wasn't working yesterday evening
present,naturalistic,transport,7,simple,nat_01273.wav,nat_01273,singular,Make sure you don't skip the train
future,naturalistic,relationship,6,simple,nat_00251.wav,nat_00251,singular,Your brother won't call this weekend
future,naturalistic,shopping,7,simple,nat_00993.wav,nat_00993,singular,The sale will not last until Friday
future,naturalistic,food,10,preposition,nat_00408.wav,nat_00408,plural,Don't leave fish too long in the fridge before cooking
future,naturalistic,weather,11,independent,nat_00211.wav,nat_00211,singular,It will be warm tomorrow but the rain will start later
past,naturalistic,nature,8,simple,nat_00240.wav,nat_00240,singular,Was the forest never more vibrant back then?
present,naturalistic,basic,9,preposition,nat_00100.wav,nat_00100,plural,Do the birds in the sky sing every morning?
present,naturalistic,basic,6,simple,nat_01442.wav,nat_01442,singular,My teacher doesn't give much homework
past,naturalistic,food,5,simple,nat_01387.wav,nat_01387,singular,I wasn't satisfied after dinner
present,naturalistic,food,9,dependent,nat_01623.wav,nat_01623,plural,The vegetables that are on sale taste fresh today
past,naturalistic,shopping,9,dependent,nat_00590.wav,nat_00590,plural,Do not buy shoes that were not on sale
past,naturalistic,emotion,6,simple,nat_00410.wav,nat_00410,singular,Share your happiness with someone today
present,naturalistic,food,9,independent,nat_01359.wav,nat_01359,singular,You must not fast today as breakfast is important
past,naturalistic,shopping,10,preposition,nat_01950.wav,nat_01950,plural,Many customers in the store found great deals last week
future,naturalistic,sport,8,simple,nat_02059.wav,nat_02059,plural,Never assume those players won't improve their skills
future,naturalistic,transport,11,independent,nat_01779.wav,nat_01779,singular,Don’t take that train if you will not reach on time
present,naturalistic,shopping,9,dependent,nat_01460.wav,nat_01460,singular,The store doesn't have the shoes that I want
future,naturalistic,nature,11,dependent,nat_01151.wav,nat_01151,plural,Take care of the plants that will bloom in the spring
past,naturalistic,transport,10,preposition,nat_01773.wav,nat_01773,plural,Did the trains in your city arrive on time yesterday?
present,naturalistic,basic,7,simple,nat_00561.wav,nat_00561,singular,He offers his help with the project
past,naturalistic,nature,10,preposition,nat_00630.wav,nat_00630,plural,Don't fish under the bridge across the lake back then
future,naturalistic,basic,9,preposition,nat_02000.wav,nat_02000,singular,Do not leave your bag under the table tomorrow
future,naturalistic,shopping,7,simple,nat_00275.wav,nat_00275,singular,Will the store have a discount tomorrow?
future,naturalistic,emotion,5,simple,nat_01580.wav,nat_01580,singular,I won't feel joy tomorrow
present,naturalistic,transport,6,simple,nat_01921.wav,nat_01921,singular,Doesn't the ferry operate at night?
present,naturalistic,work,8,preposition,nat_01730.wav,nat_01730,plural,Don't move chairs away from the conference table
future,naturalistic,basic,6,simple,nat_00120.wav,nat_00120,plural,These flowers won't bloom until spring
future,naturalistic,weather,10,preposition,nat_01657.wav,nat_01657,singular,The breeze through the park will not stop during autumn
past,naturalistic,health,9,dependent,nat_02017.wav,nat_02017,singular,The yoga class that I tried improved my mood
future,naturalistic,work,11,preposition,nat_00538.wav,nat_00538,singular,You aren't going to study for the exam in the library
future,naturalistic,shopping,10,dependent,nat_00056.wav,nat_00056,singular,That market will not have fresh produce by next week
future,naturalistic,relationship,7,simple,nat_00247.wav,nat_00247,singular,His father won't help with the homework
future,naturalistic,shopping,9,dependent,nat_01626.wav,nat_01626,plural,Will the stores that sell shoes not open tomorrow?
future,naturalistic,transport,9,simple,nat_01760.wav,nat_01760,singular,Will your friend take the bus to work later?
past,naturalistic,basic,6,simple,nat_01403.wav,nat_01403,singular,She learned to swim last summer
