set_number,sentID_in_set,theme,numerosity,tense,sentence,word_count,structure,sentID_in_dataset,sentence_id,audio_filename,before_semantic_switch_sentence
1,1,art,plural,past,The artists painted their canvases yesterday.,7,baseline_a,1,ctr_00000,ctr_00000.wav,The artists painted their canvases yesterday.
1,2,art,plural,past,The artists attentively painted their canvases yesterday.,7,baseline_b,2,ctr_00001,ctr_00001.wav,The artists attentively painted their canvases yesterday.
1,3,art,plural,past,The talented artists painted their canvases yesterday.,7,baseline_c,3,ctr_00002,ctr_00002.wav,The talented artists painted their canvases yesterday.
1,4,art,plural,past,The talented artists carefully painted their canvases yesterday.,8,baseline_d,4,ctr_00003,ctr_00003.wav,The talented artists attentively painted their canvases yesterday.
1,5,art,plural,past,The creators in their studios painted their canvases yesterday.,9,control_a,5,ctr_00004,ctr_00004.wav,The artists in their studios painted their canvases yesterday.
1,6,art,plural,past,The artists in their studios carefully painted their canvases yesterday.,10,control_b,6,ctr_00005,ctr_00005.wav,The artists in their studios attentively painted their canvases yesterday.
1,7,art,plural,past,The talented artists in their workshops depicted their canvases yesterday.,10,control_c,7,ctr_00006,ctr_00006.wav,The talented artists in their studios painted their canvases yesterday.
1,8,art,plural,past,The skilled artists in their studios attentively painted their canvases yesterday.,11,control_d,8,ctr_00007,ctr_00007.wav,The talented artists in their studios attentively painted their canvases yesterday.
1,9,art,plural,past,The creators who practiced hard painted their works yesterday.,9,standard_subject_a,9,ctr_00008,ctr_00008.wav,The artists who trained hard painted their canvases yesterday.
1,10,art,plural,past,The artists who trained diligently attentively depicted their paintings yesterday.,10,standard_subject_b,10,ctr_00009,ctr_00009.wav,The artists who trained hard attentively painted their canvases yesterday.
1,11,art,plural,past,The gifted artists who practiced hard painted their canvases yesterday.,10,standard_subject_c,11,ctr_00010,ctr_00010.wav,The talented artists who trained hard painted their canvases yesterday.
1,12,art,plural,past,The talented artists who trained hard carefully painted their canvases yesterday.,11,standard_subject_d,12,ctr_00011,ctr_00011.wav,The talented artists who trained hard attentively painted their canvases yesterday.
1,13,art,plural,past,The artists who the critics esteemed painted their canvases yesterday.,10,standard_object_a,13,ctr_00012,ctr_00012.wav,The artists who the critics admired painted their canvases yesterday.
1,14,art,plural,past,The artists who the critics admired carefully painted their canvases yesterday.,11,standard_object_b,14,ctr_00013,ctr_00013.wav,The artists who the critics admired attentively painted their canvases yesterday.
1,15,art,plural,past,The talented artists who the critics esteemed painted their canvases yesterday.,11,standard_object_c,15,ctr_00014,ctr_00014.wav,The talented artists who the critics admired painted their canvases yesterday.
1,16,art,plural,past,The talented artists who the critics admired carefully painted their canvases yesterday.,12,standard_object_d,16,ctr_00015,ctr_00015.wav,The talented artists who the critics admired attentively painted their canvases yesterday.
1,17,art,plural,past,The artists who read the books that were on the racks depicted their canvases yesterday.,15,nested_subject_a,17,ctr_00016,ctr_00016.wav,The artists who read the books that were on the shelves painted their canvases yesterday.
1,18,art,plural,past,The creators who read the volumes that were on the racks carefully painted their canvases yesterday.,16,nested_subject_b,18,ctr_00017,ctr_00017.wav,The artists who read the books that were on the shelves attentively painted their canvases yesterday.
1,19,art,plural,past,The talented artists who perused the volumes that were on the racks painted their works yesterday.,16,nested_subject_c,19,ctr_00018,ctr_00018.wav,The talented artists who read the books that were on the shelves painted their canvases yesterday.
1,20,art,plural,past,The skilled creators who perused the books that were on the shelves carefully painted their canvases yesterday.,17,nested_subject_d,20,ctr_00019,ctr_00019.wav,The talented artists who read the books that were on the shelves attentively painted their canvases yesterday.
2,1,art,plural,present,The creators paint new pictures.,5,baseline_a,25,ctr_00024,ctr_00024.wav,The artists paint new pictures.
2,2,art,plural,present,The creators rapidly depict fresh images.,6,baseline_b,26,ctr_00025,ctr_00025.wav,The artists quickly paint new pictures.
2,3,art,plural,present,The skilled artists depict fresh images.,6,baseline_c,27,ctr_00026,ctr_00026.wav,The talented artists paint new pictures.
2,4,art,plural,present,The talented creators quickly depict new pictures.,7,baseline_d,28,ctr_00027,ctr_00027.wav,The talented artists quickly paint new pictures.
2,5,art,plural,present,The creators in the workshops paint new pictures.,8,control_a,29,ctr_00028,ctr_00028.wav,The artists in the studios paint new pictures.
2,6,art,plural,present,The artists in the workshops rapidly depict new pictures.,9,control_b,30,ctr_00029,ctr_00029.wav,The artists in the studios quickly paint new pictures.
2,7,art,plural,present,The skilled artists in the studios paint fresh pictures.,9,control_c,31,ctr_00030,ctr_00030.wav,The talented artists in the studios paint new pictures.
