numerosity,dataset,structure,theme,sentence,audio_filename,tense,num_words,sentence_id
plural,naturalistic,dependent,basic,The friends I have are not interested in sports,nat_18206.wav,present,9,nat_18206
singular,naturalistic,dependent,transport,Will the driver who will take me not know the way?,nat_06950.wav,future,11,nat_06950
singular,naturalistic,independent,humanity,The teacher was not happy when the student did not learn,nat_04265.wav,past,11,nat_04265
singular,naturalistic,simple,food,Will she not be eating breakfast tomorrow?,nat_10108.wav,future,7,nat_10108
singular,naturalistic,dependent,basic,Will the man who is not working be looking for a job?,nat_00856.wav,future,12,nat_00856
singular,naturalistic,simple,health,Is my brother not depressed anymore?,nat_07051.wav,present,6,nat_07051
singular,naturalistic,simple,science,She is good at solving puzzles,nat_03616.wav,present,6,nat_03616
singular,naturalistic,independent,sport,I prefer yoga while my sister likes dance,nat_15541.wav,present,8,nat_15541
plural,naturalistic,dependent,health,The friends supporting each other have stronger bonds,nat_07221.wav,present,8,nat_07221
plural,naturalistic,simple,nature,Elephants have big ears and long trunks,nat_02748.wav,present,7,nat_02748
singular,naturalistic,preposition,art,I found a book under the old piano,nat_09977.wav,past,8,nat_09977
plural,naturalistic,independent,food,The athletes had been eating protein to build muscle,nat_04410.wav,past,9,nat_04410
plural,naturalistic,preposition,housing,The owners will not pay for the repairs of the roof,nat_16182.wav,future,11,nat_16182
plural,naturalistic,dependent,weather,Did the children who played outside enjoy the autumn leaves?,nat_12241.wav,past,10,nat_12241
singular,naturalistic,independent,housing,I have a pet cat that sleeps on my sofa,nat_15647.wav,present,10,nat_15647
singular,naturalistic,dependent,nature,Wasn't the soil that we planted in very dry?,nat_04279.wav,past,9,nat_04279
singular,naturalistic,simple,relationship,Doesn't she love her little brother?,nat_10522.wav,present,6,nat_10522
plural,naturalistic,dependent,basic,Will they be eating the food that we prepared tonight?,nat_09625.wav,future,10,nat_09625
singular,naturalistic,simple,relationship,I have a very big loving family here,nat_06267.wav,present,8,nat_06267
plural,naturalistic,simple,nature,Will the flowers bloom earlier this year?,nat_03710.wav,future,7,nat_03710
plural,naturalistic,dependent,work,The courses that we take are very challenging,nat_17455.wav,present,8,nat_17455
singular,naturalistic,independent,science,She doesn't like math so she won't take the test,nat_16981.wav,present,10,nat_16981
singular,naturalistic,simple,nature,Can you hear the ocean waves?,nat_17634.wav,present,6,nat_17634
singular,naturalistic,simple,sport,The skier sped down the mountain very quickly,nat_01489.wav,past,8,nat_01489
plural,naturalistic,preposition,emotion,Are the kids in this school not excited?,nat_05970.wav,present,8,nat_05970
singular,naturalistic,simple,weather,The storm is not moving fast,nat_10007.wav,present,6,nat_10007
singular,naturalistic,independent,nature,Was the animal hungry but it couldn't find food?,nat_17605.wav,past,9,nat_17605
singular,naturalistic,simple,nature,The forest was not very dense,nat_02856.wav,past,6,nat_02856
plural,naturalistic,simple,science,The teachers used projectors to show videos clearly,nat_10373.wav,past,8,nat_10373
singular,naturalistic,preposition,basic,Was the woman next to him not happy?,nat_13114.wav,past,8,nat_13114
singular,naturalistic,independent,relationship,My mom didn't work when I was a child,nat_09595.wav,past,9,nat_09595
plural,naturalistic,independent,relationship,Did the neighbors not invite them over for dinner so often?,nat_08423.wav,past,11,nat_08423
singular,naturalistic,simple,emotion,The music didn't calm her down,nat_16635.wav,past,6,nat_16635
singular,naturalistic,preposition,food,Will the baby drink milk from a bottle later?,nat_05182.wav,future,9,nat_05182
singular,naturalistic,preposition,basic,Do you want to sit next to my brother?,nat_03405.wav,present,9,nat_03405
singular,naturalistic,preposition,transport,No bus will be going to the beach tomorrow morning,nat_15170.wav,future,10,nat_15170
singular,naturalistic,dependent,housing,The house that I will rent has a nice view,nat_18770.wav,future,10,nat_18770
singular,naturalistic,simple,shopping,I always check prices before making a purchase,nat_14595.wav,present,8,nat_14595
singular,naturalistic,simple,humanity,Is the government not doing enough to help?,nat_09545.wav,present,8,nat_09545
singular,naturalistic,simple,nature,A small bird does not fly high,nat_09049.wav,present,7,nat_09049
plural,naturalistic,independent,housing,The neighbors will not be happy if we have a loud party,nat_10422.wav,future,12,nat_10422
singular,naturalistic,dependent,basic,She said something that made me happy,nat_18255.wav,past,7,nat_18255
singular,naturalistic,simple,emotion,The teacher doesn't seem patient,nat_03971.wav,present,5,nat_03971
singular,naturalistic,preposition,sport,Is the runner in front of me going to be tired?,nat_17155.wav,future,11,nat_17155
plural,naturalistic,simple,relationship,The bride and groom will be happy together,nat_09827.wav,future,8,nat_09827
plural,naturalistic,preposition,sport,Many athletes in the world are not very famous,nat_04966.wav,present,9,nat_04966
singular,naturalistic,independent,science,The car will drive autonomously when the technology is ready,nat_17080.wav,future,10,nat_17080
plural,naturalistic,simple,emotion,The students will feel anxious about their exams,nat_19692.wav,future,8,nat_19692
plural,naturalistic,simple,health,Most hospitals offer counseling services now,nat_01710.wav,present,6,nat_01710
singular,naturalistic,preposition,sport,The boxer in the ring is not fighting very well tonight,nat_18042.wav,present,11,nat_18042
singular,naturalistic,preposition,shopping,Can I get a refund at the store upstairs?,nat_16409.wav,present,9,nat_16409
plural,naturalistic,simple,science,The engineers built a new bridge quickly,nat_00451.wav,past,7,nat_00451
singular,naturalistic,independent,humanity,The student did not attend the lecture because it was not required,nat_09798.wav,past,12,nat_09798
singular,naturalistic,dependent,work,The man who teaches us history is very knowledgeable,nat_10311.wav,present,9,nat_10311
plural,naturalistic,simple,food,The restaurants will offer a new menu soon,nat_14151.wav,future,8,nat_14151
plural,naturalistic,simple,health,Are there not enough resources for depression?,nat_15421.wav,present,7,nat_15421
plural,naturalistic,dependent,food,People who follow this diet will not lose weight,nat_13835.wav,future,9,nat_13835
plural,naturalistic,preposition,transport,Were the bicycles in the park easy to ride?,nat_06215.wav,past,9,nat_06215
singular,naturalistic,dependent,basic,The car that he is driving is not his own,nat_13504.wav,present,10,nat_13504
singular,naturalistic,dependent,housing,Isn't the house that we visited too expensive?,nat_04680.wav,present,8,nat_04680
plural,naturalistic,preposition,weather,Will the storms of next winter not be very strong?,nat_15681.wav,future,10,nat_15681
singular,naturalistic,independent,sport,The runner had been training for months before the competition,nat_15965.wav,past,10,nat_15965
plural,naturalistic,preposition,relationship,Are the relatives of our family going to visit us soon?,nat_12092.wav,future,11,nat_12092
singular,naturalistic,preposition,science,Does she not study physics in her free time?,nat_08730.wav,present,9,nat_08730
plural,naturalistic,simple,housing,Will the new house not have a big backyard then?,nat_03050.wav,future,10,nat_03050
singular,naturalistic,simple,health,My grandma has dementia and forgets things easily,nat_08440.wav,present,8,nat_08440
singular,naturalistic,independent,shopping,The store was open but the shelves were almost empty,nat_04115.wav,past,10,nat_04115
plural,naturalistic,dependent,emotion,Do the people who are fearful ever feel safe?,nat_10560.wav,future,9,nat_10560
singular,naturalistic,dependent,basic,He will marry the woman that he loves,nat_03507.wav,future,8,nat_03507
plural,naturalistic,simple,relationship,The sisters are going to the movies tonight,nat_09162.wav,present,8,nat_09162
plural,naturalistic,dependent,shopping,The items that are not on sale will not be bought,nat_05933.wav,future,11,nat_05933
plural,naturalistic,simple,housing,Had the cleaners vacuumed all the floors thoroughly?,nat_16492.wav,past,8,nat_16492
plural,naturalistic,preposition,nature,Were the flowers in the garden blooming beautifully?,nat_18996.wav,past,8,nat_18996
plural,naturalistic,simple,transport,Taxis are not cheap in cities,nat_02602.wav,present,6,nat_02602
plural,naturalistic,preposition,health,Are the kids under 10 not getting enough sleep tonight?,nat_02319.wav,present,10,nat_02319
plural,naturalistic,simple,weather,Do they have a lot of rain?,nat_18487.wav,present,7,nat_18487
