set_number,sentID_in_set,theme,numerosity,tense,sentence,word_count,structure,sentID_in_dataset
1,1,art,plural,past,The artists painted their canvases yesterday.,7,baseline_a,1
1,2,art,plural,past,The artists attentively painted their canvases yesterday.,7,baseline_b,2
1,3,art,plural,past,The talented artists painted their canvases yesterday.,7,baseline_c,3
1,4,art,plural,past,The talented artists attentively painted their canvases yesterday.,8,baseline_d,4
1,5,art,plural,past,The artists in their studios painted their canvases yesterday.,9,control_a,5
1,6,art,plural,past,The artists in their studios attentively painted their canvases yesterday.,10,control_b,6
1,7,art,plural,past,The talented artists in their studios painted their canvases yesterday.,10,control_c,7
1,8,art,plural,past,The talented artists in their studios attentively painted their canvases yesterday.,11,control_d,8
1,9,art,plural,past,The artists who trained hard painted their canvases yesterday.,9,standard_subject_a,9
1,10,art,plural,past,The artists who trained hard attentively painted their canvases yesterday.,10,standard_subject_b,10
1,11,art,plural,past,The talented artists who trained hard painted their canvases yesterday.,10,standard_subject_c,11
1,12,art,plural,past,The talented artists who trained hard attentively painted their canvases yesterday.,11,standard_subject_d,12
1,13,art,plural,past,The artists who the critics admired painted their canvases yesterday.,10,standard_object_a,13
1,14,art,plural,past,The artists who the critics admired attentively painted their canvases yesterday.,11,standard_object_b,14
1,15,art,plural,past,The talented artists who the critics admired painted their canvases yesterday.,11,standard_object_c,15
1,16,art,plural,past,The talented artists who the critics admired attentively painted their canvases yesterday.,12,standard_object_d,16
1,17,art,plural,past,The artists who read the books that were on the shelves painted their canvases yesterday.,15,nested_subject_a,17
1,18,art,plural,past,The artists who read the books that were on the shelves attentively painted their canvases yesterday.,16,nested_subject_b,18
1,19,art,plural,past,The talented artists who read the books that were on the shelves painted their canvases yesterday.,16,nested_subject_c,19
1,20,art,plural,past,The talented artists who read the books that were on the shelves attentively painted their canvases yesterday.,17,nested_subject_d,20
1,21,art,plural,past,The artists who the curators who the museums respected supported painted their canvases yesterday.,14,nested_object_a,21
1,22,art,plural,past,The artists who the curators who the museums respected supported attentively painted their canvases yesterday.,15,nested_object_b,22
1,23,art,plural,past,The talented artists who the curators who the museums respected supported painted their canvases yesterday.,15,nested_object_c,23
1,24,art,plural,past,The talented artists who the curators who the museums respected supported attentively painted their canvases yesterday.,16,nested_object_d,24
2,1,art,plural,present,The artists paint new pictures.,5,baseline_a,25
2,2,art,plural,present,The artists quickly paint new pictures.,6,baseline_b,26
2,3,art,plural,present,The talented artists paint new pictures.,6,baseline_c,27
2,4,art,plural,present,The talented artists quickly paint new pictures.,7,baseline_d,28
2,5,art,plural,present,The artists in the studios paint new pictures.,8,control_a,29
2,6,art,plural,present,The artists in the studios quickly paint new pictures.,9,control_b,30
2,7,art,plural,present,The talented artists in the studios paint new pictures.,9,control_c,31
2,8,art,plural,present,The talented artists in the studios quickly paint new pictures.,10,control_d,32
2,9,art,plural,present,The artists who practice every day paint new pictures.,9,standard_subject_a,33
2,10,art,plural,present,The artists who practice every day quickly paint new pictures.,10,standard_subject_b,34
2,11,art,plural,present,The talented artists who practice every day paint new pictures.,10,standard_subject_c,35
2,12,art,plural,present,The talented artists who practice every day quickly paint new pictures.,11,standard_subject_d,36
