level_0,index,theme,type,structure,numer,tense,polarity,sentence,num_words,validity_huge_issue
60,60,weather,interrogative,simple,plural,present,affirmative,Are the temperatures rising during the summer months?,8,correct
61,61,weather,interrogative,simple,plural,present,affirmative,Do the clouds usually appear thicker in spring?,8,correct
62,62,weather,interrogative,simple,plural,present,affirmative,Are winter storms becoming more frequent lately?,7,correct
63,63,weather,interrogative,simple,plural,present,affirmative,Have the winds picked up speed this afternoon?,8,correct
64,64,weather,interrogative,simple,plural,present,affirmative,Is it true that flowers only bloom in spring?,9,correct
65,65,weather,interrogative,simple,plural,present,affirmative,Can thunderstorms occur without any prior warning signs?,8,correct
66,66,weather,interrogative,simple,plural,present,affirmative,Do the oceans get warmer as the day progresses?,9,correct
67,67,weather,interrogative,simple,plural,present,affirmative,Are there more sunny days during autumn here?,8,correct
68,68,weather,interrogative,simple,plural,present,affirmative,Does rainfall increase significantly in this region in autumn?,9,correct
69,69,weather,interrogative,simple,plural,present,affirmative,Are mornings colder in December than in November?,8,correct
70,70,weather,interrogative,simple,plural,present,affirmative,Could these skies be clearer by this evening?,8,correct
71,71,weather,interrogative,simple,plural,present,affirmative,Are the leaves changing color already this season?,8,correct
72,72,weather,interrogative,simple,plural,present,affirmative,Will the temperatures drop again tonight?,6,correct
74,74,weather,interrogative,simple,plural,present,affirmative,Is it common for hurricanes to form in September?,9,correct
75,75,weather,interrogative,simple,plural,present,affirmative,Will the sunsets stay as vivid throughout winter?,8,correct
76,76,weather,interrogative,simple,plural,present,affirmative,Does this region experience frequent foggy mornings?,7,correct
77,77,weather,interrogative,simple,plural,present,affirmative,Have the mornings been frostier than usual this spring?,9,correct
78,78,weather,interrogative,simple,plural,present,affirmative,Do people consider summer as their favorite season here?,9,correct
79,79,weather,interrogative,simple,plural,present,affirmative,Have nights turned shorter or longer this time of year?,10,correct
82,82,science,imperative,dependent,plural,past,affirmative,Note the patterns after you coded those complex algorithms last night,11,correct
84,84,science,imperative,dependent,plural,past,affirmative,Rotate the tires that had been replaced during maintenance,9,correct
85,85,science,imperative,dependent,plural,past,affirmative,Review the data that was collected from yesterday's experiment,9,correct
88,88,science,imperative,dependent,plural,past,affirmative,Test the circuits after the components were installed in sequence,10,correct
89,89,science,imperative,dependent,plural,past,affirmative,Debug the code errors that were logged in the system files,11,correct
90,90,science,imperative,dependent,plural,past,affirmative,Format those drives that stored old and unnecessary files,9,correct
91,91,science,imperative,dependent,plural,past,affirmative,Charge all the gadgets that were left unused over the weekend,11,correct
92,92,science,imperative,dependent,plural,past,affirmative,Optimize the settings that you altered while troubleshooting,8,correct
93,93,science,imperative,dependent,plural,past,affirmative,Measure the voltage levels which fluctuated during the trial run,10,correct
