set_number,sentID_in_set,theme,numerosity,tense,sentence,word_count,structure,sentID_in_dataset,sentence_id,audio_filename
1,1,art,plural,past,The artists painted their canvases yesterday.,7,baseline_a,1,ctr_00000,ctr_00000.wav
1,2,art,plural,past,The artists attentively painted their canvases yesterday.,7,baseline_b,2,ctr_00001,ctr_00001.wav
1,3,art,plural,past,The talented artists painted their canvases yesterday.,7,baseline_c,3,ctr_00002,ctr_00002.wav
1,4,art,plural,past,The talented artists attentively painted their canvases yesterday.,8,baseline_d,4,ctr_00003,ctr_00003.wav
1,5,art,plural,past,The artists in their studios painted their canvases yesterday.,9,control_a,5,ctr_00004,ctr_00004.wav
1,6,art,plural,past,The artists in their studios attentively painted their canvases yesterday.,10,control_b,6,ctr_00005,ctr_00005.wav
1,7,art,plural,past,The talented artists in their studios painted their canvases yesterday.,10,control_c,7,ctr_00006,ctr_00006.wav
1,8,art,plural,past,The talented artists in their studios attentively painted their canvases yesterday.,11,control_d,8,ctr_00007,ctr_00007.wav
1,9,art,plural,past,The artists who trained hard painted their canvases yesterday.,9,standard_subject_a,9,ctr_00008,ctr_00008.wav
1,10,art,plural,past,The artists who trained hard attentively painted their canvases yesterday.,10,standard_subject_b,10,ctr_00009,ctr_00009.wav
1,11,art,plural,past,The talented artists who trained hard painted their canvases yesterday.,10,standard_subject_c,11,ctr_00010,ctr_00010.wav
1,12,art,plural,past,The talented artists who trained hard attentively painted their canvases yesterday.,11,standard_subject_d,12,ctr_00011,ctr_00011.wav
1,13,art,plural,past,The artists who the critics admired painted their canvases yesterday.,10,standard_object_a,13,ctr_00012,ctr_00012.wav
1,14,art,plural,past,The artists who the critics admired attentively painted their canvases yesterday.,11,standard_object_b,14,ctr_00013,ctr_00013.wav
1,15,art,plural,past,The talented artists who the critics admired painted their canvases yesterday.,11,standard_object_c,15,ctr_00014,ctr_00014.wav
1,16,art,plural,past,The talented artists who the critics admired attentively painted their canvases yesterday.,12,standard_object_d,16,ctr_00015,ctr_00015.wav
1,17,art,plural,past,The artists who read the books that were on the shelves painted their canvases yesterday.,15,nested_subject_a,17,ctr_00016,ctr_00016.wav
1,18,art,plural,past,The artists who read the books that were on the shelves attentively painted their canvases yesterday.,16,nested_subject_b,18,ctr_00017,ctr_00017.wav
1,19,art,plural,past,The talented artists who read the books that were on the shelves painted their canvases yesterday.,16,nested_subject_c,19,ctr_00018,ctr_00018.wav
1,20,art,plural,past,The talented artists who read the books that were on the shelves attentively painted their canvases yesterday.,17,nested_subject_d,20,ctr_00019,ctr_00019.wav
