theme,type,structure,numer,tense,polarity,sentence,num_words,validity_huge_issue,sentence_id,audio_filename,presents_special_char,cluster,list_index
relationship,interrogative,simple,singular,future,negative,Is she not going to visit her mom tomorrow?,9,correct,nat_11559,nat_11559.wav,False,4540,0
food,interrogative,independent,singular,past,negative,Did he not drink milk when he was a child?,10,correct,nat_06580,nat_06580.wav,False,1962,0
humanity,declarative,dependent,plural,present,affirmative,The women wearing traditional clothes are from a small village,10,correct,nat_05546,nat_05546.wav,False,2634,0
emotion,interrogative,dependent,singular,future,affirmative,Does she think that her mom will be feeling sad?,10,correct,nat_14994,nat_14994.wav,False,151,0
sport,interrogative,dependent,plural,future,affirmative,Will the teams that are training together win the league?,10,correct,nat_02992,nat_02992.wav,False,2368,0
transport,declarative,independent,singular,future,negative,She will not drive to work because her car broke down,11,correct,nat_19100,nat_19100.wav,False,2093,0
humanity,declarative,dependent,singular,past,negative,The book that I read was not very interesting,9,correct,nat_10137,nat_10137.wav,False,1538,0
transport,declarative,dependent,singular,present,negative,The bus that I ride is not always on time,10,correct,nat_03576,nat_03576.wav,False,3286,0
shopping,declarative,preposition,plural,future,negative,The prices of most products will not be discounted tomorrow,10,correct,nat_16882,nat_16882.wav,False,422,0
health,interrogative,independent,plural,present,affirmative,Do their friends think they have unhealthy eating habits?,9,correct,nat_07016,nat_07016.wav,False,2234,0
science,interrogative,independent,plural,past,affirmative,Were the students learning programming languages for many semesters?,9,correct,nat_16241,nat_16241.wav,False,1978,0
shopping,declarative,dependent,plural,past,affirmative,They bought the products that were on sale last week,10,correct,nat_14335,nat_14335.wav,False,3543,0
weather,interrogative,dependent,singular,present,negative,Does the person who lives here not like summer?,9,correct,nat_02081,nat_02081.wav,False,2267,0
housing,declarative,preposition,plural,present,negative,The owners of the house are not selling it,9,correct,nat_07438,nat_07438.wav,False,4296,0
sport,declarative,dependent,singular,future,affirmative,The player who wins the most games will be the champion,11,correct,nat_19878,nat_19878.wav,False,983,0
art,interrogative,simple,plural,present,affirmative,Do art students learn about history?,6,correct,nat_13679,nat_13679.wav,False,2520,0
transport,interrogative,simple,singular,future,affirmative,Will she drive to the beach tomorrow?,7,correct,nat_06053,nat_06053.wav,False,1300,0
emotion,interrogative,simple,plural,present,affirmative,Are the patients feeling hopeful about their recovery process?,9,correct,nat_02689,nat_02689.wav,False,1059,0
art,interrogative,simple,plural,future,affirmative,Will they be painting the entire wall with bright colors?,10,correct,nat_02587,nat_02587.wav,False,802,0
sport,interrogative,simple,plural,past,affirmative,Were the losers disappointed with their performance?,7,correct,nat_11866,nat_11866.wav,False,1516,0
science,interrogative,preposition,singular,present,affirmative,Does the car in front of you have a GPS system?,11,correct,nat_11258,nat_11258.wav,False,2759,0
art,declarative,dependent,plural,present,affirmative,The writers who create engaging stories are my idols,9,correct,nat_19325,nat_19325.wav,False,307,0
nature,declarative,preposition,plural,present,negative,The trees next to my house are not healthy,9,correct,nat_01762,nat_01762.wav,False,4793,0
